Geneid	gene_id	gene_name	gene_biotype
gene:FGSG_00230	gene:FGSG_00230	gene:FGSG_00230	NA
gene:FGSG_11717	gene:FGSG_11717	gene:FGSG_11717	NA
gene:FGSG_11718	gene:FGSG_11718	gene:FGSG_11718	NA
gene:FGSG_00231	gene:FGSG_00231	gene:FGSG_00231	NA
gene:FGSG_00232	gene:FGSG_00232	gene:FGSG_00232	NA
gene:FGSG_11719	gene:FGSG_11719	gene:FGSG_11719	NA
gene:FGSG_00233	gene:FGSG_00233	gene:FGSG_00233	NA
gene:FGSG_00234	gene:FGSG_00234	gene:FGSG_00234	NA
gene:FGSG_00235	gene:FGSG_00235	gene:FGSG_00235	NA
gene:FGSG_00236	gene:FGSG_00236	gene:FGSG_00236	NA
gene:FGSG_00237	gene:FGSG_00237	gene:FGSG_00237	NA
gene:FGSG_11720	gene:FGSG_11720	gene:FGSG_11720	NA
gene:FGSG_11721	gene:FGSG_11721	gene:FGSG_11721	NA
gene:FGSG_11722	gene:FGSG_11722	gene:FGSG_11722	NA
gene:FGSG_11723	gene:FGSG_11723	gene:FGSG_11723	NA
gene:FGSG_00239	gene:FGSG_00239	gene:FGSG_00239	NA
gene:FGSG_11724	gene:FGSG_11724	gene:FGSG_11724	NA
gene:FGSG_00240	gene:FGSG_00240	gene:FGSG_00240	NA
gene:FGSG_11725	gene:FGSG_11725	gene:FGSG_11725	NA
gene:FGSG_11726	gene:FGSG_11726	gene:FGSG_11726	NA
gene:FGSG_11727	gene:FGSG_11727	gene:FGSG_11727	NA
gene:FGSG_00242	gene:FGSG_00242	gene:FGSG_00242	NA
gene:FGSG_11728	gene:FGSG_11728	gene:FGSG_11728	NA
gene:FGSG_00243	gene:FGSG_00243	gene:FGSG_00243	NA
gene:FGSG_11729	gene:FGSG_11729	gene:FGSG_11729	NA
gene:FGSG_20502	gene:FGSG_20502	gene:FGSG_20502	NA
gene:FGSG_11730	gene:FGSG_11730	gene:FGSG_11730	NA
gene:FGSG_11731	gene:FGSG_11731	gene:FGSG_11731	NA
gene:FGSG_00245	gene:FGSG_00245	gene:FGSG_00245	NA
gene:FGSG_00246	gene:FGSG_00246	gene:FGSG_00246	NA
gene:FGSG_00247	gene:FGSG_00247	gene:FGSG_00247	NA
gene:FGSG_11732	gene:FGSG_11732	gene:FGSG_11732	NA
gene:FGSG_00248	gene:FGSG_00248	gene:FGSG_00248	NA
gene:FGSG_00249	gene:FGSG_00249	gene:FGSG_00249	NA
gene:FGSG_11733	gene:FGSG_11733	gene:FGSG_11733	NA
gene:FGSG_11734	gene:FGSG_11734	gene:FGSG_11734	NA
gene:FGSG_00251	gene:FGSG_00251	gene:FGSG_00251	NA
gene:FGSG_00252	gene:FGSG_00252	gene:FGSG_00252	NA
gene:FGSG_00253	gene:FGSG_00253	gene:FGSG_00253	NA
gene:FGSG_00254	gene:FGSG_00254	gene:FGSG_00254	NA
gene:FGSG_11735	gene:FGSG_11735	gene:FGSG_11735	NA
gene:FGSG_00255	gene:FGSG_00255	gene:FGSG_00255	NA
gene:FGSG_00256	gene:FGSG_00256	gene:FGSG_00256	NA
gene:FGSG_00257	gene:FGSG_00257	gene:FGSG_00257	NA
gene:FGSG_00258	gene:FGSG_00258	gene:FGSG_00258	NA
gene:FGSG_00259	gene:FGSG_00259	gene:FGSG_00259	NA
gene:FGSG_00260	gene:FGSG_00260	gene:FGSG_00260	NA
gene:FGSG_00261	gene:FGSG_00261	gene:FGSG_00261	NA
gene:FGSG_00262	gene:FGSG_00262	gene:FGSG_00262	NA
gene:FGSG_00263	gene:FGSG_00263	gene:FGSG_00263	NA
gene:FGSG_00264	gene:FGSG_00264	gene:FGSG_00264	NA
gene:FGSG_00265	gene:FGSG_00265	gene:FGSG_00265	NA
gene:FGSG_00266	gene:FGSG_00266	gene:FGSG_00266	NA
gene:FGSG_00267	gene:FGSG_00267	gene:FGSG_00267	NA
gene:FGSG_00268	gene:FGSG_00268	gene:FGSG_00268	NA
gene:FGSG_11736	gene:FGSG_11736	gene:FGSG_11736	NA
gene:FGSG_00269	gene:FGSG_00269	gene:FGSG_00269	NA
gene:FGSG_00270	gene:FGSG_00270	gene:FGSG_00270	NA
gene:FGSG_11737	gene:FGSG_11737	gene:FGSG_11737	NA
gene:FGSG_11738	gene:FGSG_11738	gene:FGSG_11738	NA
gene:FGSG_00271	gene:FGSG_00271	gene:FGSG_00271	NA
gene:FGSG_00272	gene:FGSG_00272	gene:FGSG_00272	NA
gene:FGSG_00273	gene:FGSG_00273	gene:FGSG_00273	NA
gene:FGSG_11739	gene:FGSG_11739	gene:FGSG_11739	NA
gene:FGSG_00274	gene:FGSG_00274	gene:FGSG_00274	NA
gene:FGSG_00275	gene:FGSG_00275	gene:FGSG_00275	NA
gene:FGSG_00276	gene:FGSG_00276	gene:FGSG_00276	NA
gene:FGSG_00277	gene:FGSG_00277	gene:FGSG_00277	NA
gene:FGSG_00278	gene:FGSG_00278	gene:FGSG_00278	NA
gene:FGSG_00279	gene:FGSG_00279	gene:FGSG_00279	NA
gene:FGSG_11740	gene:FGSG_11740	gene:FGSG_11740	NA
gene:FGSG_20503	gene:FGSG_20503	gene:FGSG_20503	NA
gene:FGSG_00280	gene:FGSG_00280	gene:FGSG_00280	NA
gene:FGSG_00281	gene:FGSG_00281	gene:FGSG_00281	NA
gene:FGSG_00282	gene:FGSG_00282	gene:FGSG_00282	NA
gene:FGSG_00283	gene:FGSG_00283	gene:FGSG_00283	NA
gene:FGSG_00284	gene:FGSG_00284	gene:FGSG_00284	NA
gene:FGSG_20504	gene:FGSG_20504	gene:FGSG_20504	NA
gene:FGSG_00285	gene:FGSG_00285	gene:FGSG_00285	NA
gene:FGSG_11741	gene:FGSG_11741	gene:FGSG_11741	NA
gene:FGSG_00286	gene:FGSG_00286	gene:FGSG_00286	NA
gene:FGSG_00287	gene:FGSG_00287	gene:FGSG_00287	NA
gene:FGSG_00288	gene:FGSG_00288	gene:FGSG_00288	NA
gene:FGSG_00289	gene:FGSG_00289	gene:FGSG_00289	NA
gene:FGSG_11742	gene:FGSG_11742	gene:FGSG_11742	NA
gene:FGSG_11743	gene:FGSG_11743	gene:FGSG_11743	NA
gene:FGSG_00291	gene:FGSG_00291	gene:FGSG_00291	NA
gene:FGSG_00292	gene:FGSG_00292	gene:FGSG_00292	NA
gene:FGSG_00293	gene:FGSG_00293	gene:FGSG_00293	NA
gene:FGSG_00294	gene:FGSG_00294	gene:FGSG_00294	NA
