contrast_id	contrast_title	rank_by_padj	Geneid	gene_id	locus_tag	product	padj	log2FoldChange
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	8	gene:FGSG_01421	FGSG_01421	FGSG_01421	DNA replication protein YHM2	8.88034519024249e-06	0.421492741679674
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	9	gene:FGSG_03751	FGSG_03751	FGSG_03751	uncharacterized protein	9.5488940932197e-06	-0.854703975059765
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	10	gene:FGSG_06896	FGSG_06896	FGSG_06896	uncharacterized protein	9.5488940932197e-06	0.82687617693044
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	11	gene:FGSG_08172	FGSG_08172	FGSG_08172	uncharacterized protein	2.06908690525565e-05	0.544731844492099
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	12	gene:FGSG_05784	FGSG_05784	FGSG_05784	uncharacterized protein	2.56091286733052e-05	0.509621032178333
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	13	gene:FGSG_06328	FGSG_06328	FGSG_06328	xylulose-5-phosphate phosphoketolase	3.42513421176021e-05	-0.389799365182834
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	14	gene:FGSG_06692	FGSG_06692	FGSG_06692	uncharacterized protein	4.29938576093652e-05	-0.667325837301768
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	15	gene:FGSG_01858	FGSG_01858	FGSG_01858	uncharacterized protein	4.30217814357402e-05	-0.799385411189522
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	16	gene:FGSG_05133	FGSG_05133	FGSG_05133	uncharacterized protein	4.30217814357402e-05	-0.694121829499871
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	17	gene:FGSG_09162	FGSG_09162	FGSG_09162	uncharacterized protein	4.30217814357402e-05	0.370530089482439
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	18	gene:FGSG_12292	FGSG_12292	FGSG_12292	uncharacterized protein	4.30217814357402e-05	0.567306305796432
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	19	gene:FGSG_07204	FGSG_07204	FGSG_07204	uncharacterized protein	6.6499161620361e-05	-0.82378473635941
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	20	gene:FGSG_07671	FGSG_07671	FGSG_07671	uncharacterized protein	6.6499161620361e-05	-0.7392968606676
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	21	gene:FGSG_10969	FGSG_10969	FGSG_10969	uncharacterized protein	9.32709286810259e-05	-0.756773697198248
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	22	gene:FGSG_04088	FGSG_04088	FGSG_04088	uncharacterized protein	0.000126553256119274	0.334725650420936
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	23	gene:FGSG_00150	FGSG_00150	FGSG_00150	uncharacterized protein	0.000133045966190175	-1.35849970568217
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	24	gene:FGSG_02783	FGSG_02783	FGSG_02783	sterol 24-C-methyltransferase	0.00013370510013934	0.297490304103824
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	25	gene:FGSG_13464	FGSG_13464	FGSG_13464	uncharacterized protein	0.000180180263130927	-0.985712236519053
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	26	gene:FGSG_14038	FGSG_14038	FGSG_14038	uncharacterized protein	0.000180180263130927	-0.93691453070978
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	27	gene:FGSG_06613	FGSG_06613	FGSG_06613	uncharacterized protein	0.000242218577086023	-0.580637978037949
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	28	gene:FGSG_10922	FGSG_10922	FGSG_10922	uncharacterized protein	0.000271223602670186	-0.366999751677169
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	29	gene:FGSG_02551	FGSG_02551	FGSG_02551	uncharacterized protein	0.000277858988453638	-1.29452603297255
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	30	gene:FGSG_02789	FGSG_02789	FGSG_02789	uncharacterized protein	0.000277858988453638	0.416371785299686
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	31	gene:FGSG_01417	FGSG_01417	FGSG_01417	O-acetylhomoserine	0.000297859992420958	0.486161296201469
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	32	gene:FGSG_01158	FGSG_01158	FGSG_01158	30 kDa heat shock protein	0.000378359426403746	-0.605975644578484
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	33	gene:FGSG_09066	FGSG_09066	FGSG_09066	uncharacterized protein	0.000407322635824971	-0.60841395542662
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	34	gene:FGSG_12776	FGSG_12776	FGSG_12776	uncharacterized protein	0.000480214810113965	-0.794021862495825
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	35	gene:FGSG_01948	FGSG_01948	FGSG_01948	uncharacterized protein	0.00048025546594273	-0.395993343905069
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	36	gene:FGSG_03378	FGSG_03378	FGSG_03378	uncharacterized protein	0.00048025546594273	-0.628688291600504
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	37	gene:FGSG_06553	FGSG_06553	FGSG_06553	uncharacterized protein	0.000564329085202772	-1.286391524216
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	38	gene:FGSG_04271	FGSG_04271	FGSG_04271	uncharacterized protein	0.000733633055868873	-0.496963617572494
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	39	gene:FGSG_07890	FGSG_07890	FGSG_07890	uncharacterized protein	0.000733633055868873	0.881565810825464
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	40	gene:FGSG_07174	FGSG_07174	FGSG_07174	NADP-specific glutamate dehydrogenase	0.000895585305165189	-0.567174510665898
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	41	gene:FGSG_06069	FGSG_06069	FGSG_06069	uncharacterized protein	0.00099569756047647	-0.404195875270463
