contrast_id	contrast_title	Geneid	gene_id	gene_name	gene_biotype	log2FoldChange	lfcSE	pvalue	padj	DEG_status
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_11755	gene:FGSG_11755	gene:FGSG_11755	NA	1.74236851654042	0.149503972219191	2.1809095221454e-31	7.60307649572169e-31	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_10168	gene:FGSG_10168	gene:FGSG_10168	NA	1.3863199553203	0.118993147339138	2.28334927910417e-31	7.95752219314862e-31	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_02742	gene:FGSG_02742	gene:FGSG_02742	NA	-1.91360173154348	0.164309266629497	2.39524359837929e-31	8.341860819919e-31	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_06738	gene:FGSG_06738	gene:FGSG_06738	NA	-2.09824281475531	0.180237846915157	2.53452627345417e-31	8.82396941336398e-31	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_08956	gene:FGSG_08956	gene:FGSG_08956	NA	1.30794462902427	0.112390746887371	2.65764096767732e-31	9.2494838922121e-31	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_01694	gene:FGSG_01694	gene:FGSG_01694	NA	-1.53604875070817	0.132030777792685	2.76749376169441e-31	9.62857204589515e-31	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_02036	gene:FGSG_02036	gene:FGSG_02036	NA	-3.49296994520476	0.300303594421796	2.85169990046062e-31	9.91487601389162e-31	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_02339	gene:FGSG_02339	gene:FGSG_02339	NA	1.54098362396977	0.132573039390659	3.12466233134122e-31	1.08602731717714e-30	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_09956	gene:FGSG_09956	gene:FGSG_09956	NA	-1.1054795222978	0.0951099857140061	3.14255779358459e-31	1.09188065083137e-30	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_07883	gene:FGSG_07883	gene:FGSG_07883	NA	-3.44485361107715	0.296384611033929	3.15189142341227e-31	1.09475624951394e-30	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_01443	gene:FGSG_01443	gene:FGSG_01443	NA	-1.44710992708603	0.124507298320271	3.16020552334534e-31	1.09727592182152e-30	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_13352	gene:FGSG_13352	gene:FGSG_13352	NA	-3.7487351078078	0.322567270143267	3.20232212393206e-31	1.11152676068363e-30	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_10864	gene:FGSG_10864	gene:FGSG_10864	NA	-1.3405905754529	0.115410916584293	3.42551187662778e-31	1.18819932899846e-30	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_09760	gene:FGSG_09760	gene:FGSG_09760	NA	-1.65209399976172	0.142336008755985	3.79706488615981e-31	1.31619718216601e-30	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_01915	gene:FGSG_01915	gene:FGSG_01915	NA	2.88389416470247	0.248738021610004	4.41468167474137e-31	1.52926109268224e-30	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_10809	gene:FGSG_10809	gene:FGSG_10809	NA	-2.05540869249944	0.177290538700659	4.44855049305752e-31	1.54047798679323e-30	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_10443	gene:FGSG_10443	gene:FGSG_10443	NA	-3.84721149342884	0.331941503107866	4.62978284642107e-31	1.60270048785837e-30	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_04270	gene:FGSG_04270	gene:FGSG_04270	NA	1.52999859755232	0.132028774892381	4.72017227979656e-31	1.63344464522104e-30	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_06203	gene:FGSG_06203	gene:FGSG_06203	NA	-1.86057456640464	0.160594423616056	4.87830940529816e-31	1.68760493092072e-30	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_05138	gene:FGSG_05138	gene:FGSG_05138	NA	-1.2164454777441	0.105026761959267	5.07018164803104e-31	1.75339548375796e-30	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_03680	gene:FGSG_03680	gene:FGSG_03680	NA	2.76073021620176	0.238422142698982	5.25531829520929e-31	1.81681354352578e-30	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_10745	gene:FGSG_10745	gene:FGSG_10745	NA	-1.49117180164286	0.128853655701437	5.67369089219981e-31	1.9607942422509e-30	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00789	gene:FGSG_00789	gene:FGSG_00789	NA	-1.40871167930509	0.12175235486841	5.82762627584831e-31	2.01332140340785e-30	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_13507	gene:FGSG_13507	gene:FGSG_13507	NA	-2.46383009392303	0.21295149650692	5.85426236812602e-31	2.02184898464232e-30	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_09784	gene:FGSG_09784	gene:FGSG_09784	NA	-1.74342337646689	0.150711204096831	5.98795599113734e-31	2.06733232184848e-30	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_06959	gene:FGSG_06959	gene:FGSG_06959	NA	-1.35236112380297	0.116970287360349	6.45121111037321e-31	2.22652799456014e-30	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_10891	gene:FGSG_10891	gene:FGSG_10891	NA	3.32409575851101	0.287607181477437	6.74425334149134e-31	2.32689100625796e-30	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_07158	gene:FGSG_07158	gene:FGSG_07158	NA	-2.69545078583787	0.233264660732103	6.93781928725532e-31	2.39287744504469e-30	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_11073	gene:FGSG_11073	gene:FGSG_11073	NA	2.32657788072326	0.201377608840744	7.10313114392557e-31	2.44907825055629e-30	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_01374	gene:FGSG_01374	gene:FGSG_01374	NA	1.33463101297405	0.115609755874997	7.89023994474572e-31	2.71955873461708e-30	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00932	gene:FGSG_00932	gene:FGSG_00932	NA	1.26222326267062	0.109400789251185	8.5264759021187e-31	2.93787459203118e-30	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_10262	gene:FGSG_10262	gene:FGSG_10262	NA	-2.17892038893195	0.188873764350098	8.64843166658966e-31	2.97890424071422e-30	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00270	gene:FGSG_00270	gene:FGSG_00270	NA	-1.6871217586233	0.14630120789213	9.11765980930895e-31	3.13948286217442e-30	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_05960	gene:FGSG_05960	gene:FGSG_05960	NA	1.7406047729571	0.151004657612633	9.66386229678132e-31	3.32534497244512e-30	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_07252	gene:FGSG_07252	gene:FGSG_07252	NA	1.54954340633055	0.134669435692939	1.2266469974099e-30	4.2181012989645e-30	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_02242	gene:FGSG_02242	gene:FGSG_02242	NA	6.64053443308893	0.577297977826628	1.27726693814932e-30	4.39071111474041e-30	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_02485	gene:FGSG_02485	gene:FGSG_02485	NA	-1.09450930974511	0.0952211219563972	1.40761705007231e-30	4.8339857168984e-30	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_01412	gene:FGSG_01412	gene:FGSG_01412	NA	1.35483776136214	0.11788793757693	1.43736374864779e-30	4.93450406283131e-30	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_10503	gene:FGSG_10503	gene:FGSG_10503	NA	-1.044712668864	0.090910809606444	1.45356583422745e-30	4.98847220669241e-30	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_03593	gene:FGSG_03593	gene:FGSG_03593	NA	7.19726047119261	0.62675600417718	1.59954574861299e-30	5.48763972204734e-30	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00945	gene:FGSG_00945	gene:FGSG_00945	NA	-1.23010234509524	0.107121333758064	1.60123086726414e-30	5.49160132482708e-30	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_08713	gene:FGSG_08713	gene:FGSG_08713	NA	1.09844699603905	0.0957016160680214	1.70503827262269e-30	5.84568419693223e-30	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_08419	gene:FGSG_08419	gene:FGSG_08419	NA	-1.48383724572369	0.129348114127407	1.83118093047997e-30	6.27608320231366e-30	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_01589	gene:FGSG_01589	gene:FGSG_01589	NA	3.73690866207775	0.325925482075733	1.96550692962325e-30	6.73423519170056e-30	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00568	gene:FGSG_00568	gene:FGSG_00568	NA	-1.27357600800094	0.111082901291646	1.97542860843155e-30	6.76599001379432e-30	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_13219	gene:FGSG_13219	gene:FGSG_13219	NA	-1.98049774539217	0.172913159889576	2.2528399011641e-30	7.71104275591837e-30	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_07870	gene:FGSG_07870	gene:FGSG_07870	NA	2.22129100028859	0.193967395570429	2.30104852700514e-30	7.87344892551595e-30	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_06837	gene:FGSG_06837	gene:FGSG_06837	NA	1.28797850694793	0.112488904482677	2.3561499703991e-30	8.05932500611572e-30	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_07765	gene:FGSG_07765	gene:FGSG_07765	NA	13.5281466646503	1.18185874739026	2.44831355954643e-30	8.37180931160627e-30	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_01564	gene:FGSG_01564	gene:FGSG_01564	NA	1.83790478127366	0.160568429249215	2.45567732757543e-30	8.39421691968176e-30	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_12347	gene:FGSG_12347	gene:FGSG_12347	NA	-6.62498140410284	0.578924678665176	2.53163574331085e-30	8.65100874133352e-30	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_05740	gene:FGSG_05740	gene:FGSG_05740	NA	1.59091284982381	0.139042508066852	2.58118021695092e-30	8.81740018683927e-30	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_10780	gene:FGSG_10780	gene:FGSG_10780	NA	-1.5643812035089	0.136744911559767	2.63454033971246e-30	8.99671196483601e-30	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_06364	gene:FGSG_06364	gene:FGSG_06364	NA	1.1254085730503	0.0984649149392198	2.97685435407117e-30	1.01589815366028e-29	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_05687	gene:FGSG_05687	gene:FGSG_05687	NA	-2.41019939560521	0.210943592588001	3.10778706323693e-30	1.05988232057823e-29	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_08445	gene:FGSG_08445	gene:FGSG_08445	NA	-1.80289325318166	0.157872495985663	3.32491953112626e-30	1.13355998766155e-29	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00894	gene:FGSG_00894	gene:FGSG_00894	NA	-1.27383478460471	0.111549061554092	3.34141283058831e-30	1.13880804634336e-29	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_07919	gene:FGSG_07919	gene:FGSG_07919	NA	-1.53611031892567	0.134549526306059	3.45126918076449e-30	1.17586183276194e-29	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_10200	gene:FGSG_10200	gene:FGSG_10200	NA	-1.21822776246477	0.10676065925168	3.69188379708501e-30	1.25742647483613e-29	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_08322	gene:FGSG_08322	gene:FGSG_08322	NA	4.23292422839186	0.371309151838922	4.1812041106337e-30	1.42314882845172e-29	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00350	gene:FGSG_00350	gene:FGSG_00350	NA	-1.18023751006569	0.103550364867569	4.29239158876276e-30	1.46051339172033e-29	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00566	gene:FGSG_00566	gene:FGSG_00566	NA	-1.55208085643574	0.136177657793181	4.30443641949706e-30	1.4641305744899e-29	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_10257	gene:FGSG_10257	gene:FGSG_10257	NA	-1.07121859304582	0.094001900421738	4.39224158846852e-30	1.49350638446644e-29	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_02068	gene:FGSG_02068	gene:FGSG_02068	NA	2.57828750767788	0.226255362278406	4.40417379150664e-30	1.4970720760755e-29	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_09716	gene:FGSG_09716	gene:FGSG_09716	NA	-1.6369240094	0.143669508506234	4.49606290092449e-30	1.52780555550286e-29	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_04526	gene:FGSG_04526	gene:FGSG_04526	NA	2.04550930071929	0.179535239516789	4.51255821778615e-30	1.53290773579258e-29	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_09518	gene:FGSG_09518	gene:FGSG_09518	NA	-1.85893372049565	0.16326804547701	4.92269201995974e-30	1.67168098309817e-29	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_01191	gene:FGSG_01191	gene:FGSG_01191	NA	2.44271716450833	0.214610240454176	5.13428162985549e-30	1.74182018333957e-29	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_08599	gene:FGSG_08599	gene:FGSG_08599	NA	-1.94693719101965	0.171150024294147	5.53100760011692e-30	1.87579602658403e-29	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00706	gene:FGSG_00706	gene:FGSG_00706	NA	-1.05488640708991	0.0927649237733587	5.79103639087115e-30	1.96333958058546e-29	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_05634	gene:FGSG_05634	gene:FGSG_05634	NA	1.4256246886155	0.12537009481089	5.8095705390491e-30	1.96897850609867e-29	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_07278	gene:FGSG_07278	gene:FGSG_07278	NA	1.00662150189919	0.0885581908716191	6.12037547280619e-30	2.07363768473283e-29	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_09740	gene:FGSG_09740	gene:FGSG_09740	NA	-2.06921300912359	0.182132373764996	6.53625642480811e-30	2.21309349321331e-29	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_06492	gene:FGSG_06492	gene:FGSG_06492	NA	-1.874850769465	0.165043040863957	6.63199960692842e-30	2.24477685289758e-29	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00570	gene:FGSG_00570	gene:FGSG_00570	NA	-1.20740901323646	0.106322957244486	6.92019930721569e-30	2.34156024924546e-29	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00729	gene:FGSG_00729	gene:FGSG_00729	NA	-1.07603776423208	0.0948113044175595	7.47964328765066e-30	2.53003027116416e-29	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_20655	gene:FGSG_20655	gene:FGSG_20655	NA	5.29273869140883	0.466393593069949	7.56848685652707e-30	2.55924601281781e-29	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_07413	gene:FGSG_07413	gene:FGSG_07413	NA	1.15756043220075	0.102027695972662	7.80331180645644e-30	2.63778943663239e-29	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_07193	gene:FGSG_07193	gene:FGSG_07193	NA	1.16570623012657	0.10275745864591	7.92030070736315e-30	2.67646192963571e-29	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_20022	gene:FGSG_20022	gene:FGSG_20022	NA	3.48259307455146	0.307040265575601	8.08361228857254e-30	2.73075763901729e-29	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00485	gene:FGSG_00485	gene:FGSG_00485	NA	-2.08714589953686	0.184026928044676	8.17085813521592e-30	2.75933023913978e-29	down
